SIGLO,AÑO,CALIDADES,GENERO,TOTAL
XVII,1632,NEGRA,F,0
XVII,1632,NEGRA,M,0
XVII,1632,SIN_CATEGORÍA,F,0
XVII,1632,SIN_CATEGORÍA,M,0
XVII,1633,CASTIZA,F,0
XVII,1633,CASTIZA,M,0
XVII,1633,ESPAÑOLA,F,0
XVII,1633,ESPAÑOLA,M,0
XVII,1633,INDIA,F,3
XVII,1633,INDIA,M,4
XVII,1633,MESTIZA,F,0
XVII,1633,MESTIZA,M,0
XVII,1633,MORISCA,F,0
XVII,1633,MORISCA,M,0
XVII,1633,MULATA,F,0
XVII,1633,MULATA,M,0
XVII,1633,NEGRA,F,0
XVII,1633,NEGRA,M,0
XVII,1633,SIN_CATEGORÍA,F,0
XVII,1633,SIN_CATEGORÍA,M,0
XVII,1634,CASTIZA,F,0
XVII,1634,CASTIZA,M,0
XVII,1634,ESPAÑOLA,F,2
XVII,1634,ESPAÑOLA,M,1
XVII,1634,INDIA,F,9
XVII,1634,INDIA,M,10
XVII,1634,MESTIZA,F,0
XVII,1634,MESTIZA,M,0
XVII,1634,MORISCA,F,0
XVII,1634,MORISCA,M,0
XVII,1634,MULATA,F,1
XVII,1634,MULATA,M,2
XVII,1634,NEGRA,F,0
XVII,1634,NEGRA,M,0
XVII,1634,SIN_CATEGORÍA,F,0
XVII,1634,SIN_CATEGORÍA,M,1
XVII,1635,CASTIZA,F,0
XVII,1635,CASTIZA,M,0
XVII,1635,ESPAÑOLA,F,0
XVII,1635,ESPAÑOLA,M,0
XVII,1635,INDIA,F,3
XVII,1635,INDIA,M,3
XVII,1635,MESTIZA,F,2
XVII,1635,MESTIZA,M,0
XVII,1635,MORISCA,F,0
XVII,1635,MORISCA,M,0
XVII,1635,MULATA,F,0
XVII,1635,MULATA,M,0
XVII,1635,NEGRA,F,0
XVII,1635,NEGRA,M,0
XVII,1635,SIN_CATEGORÍA,F,0
XVII,1635,SIN_CATEGORÍA,M,1
XVII,1636,CASTIZA,F,0
XVII,1636,CASTIZA,M,0
XVII,1636,ESPAÑOLA,F,1
XVII,1636,ESPAÑOLA,M,2
XVII,1636,INDIA,F,1
XVII,1636,INDIA,M,2
XVII,1636,MESTIZA,F,0
XVII,1636,MESTIZA,M,0
XVII,1636,MORISCA,F,0
XVII,1636,MORISCA,M,0
XVII,1636,MULATA,F,0
XVII,1636,MULATA,M,0
XVII,1636,NEGRA,F,1
XVII,1636,NEGRA,M,0
XVII,1636,SIN_CATEGORÍA,F,0
XVII,1636,SIN_CATEGORÍA,M,0
XVII,1637,CASTIZA,F,0
XVII,1637,CASTIZA,M,0
XVII,1637,ESPAÑOLA,F,1
XVII,1637,ESPAÑOLA,M,1
XVII,1637,INDIA,F,7
XVII,1637,INDIA,M,12
XVII,1637,MESTIZA,F,1
XVII,1637,MESTIZA,M,2
XVII,1637,MORISCA,F,0
XVII,1637,MORISCA,M,0
XVII,1637,MULATA,F,1
XVII,1637,MULATA,M,2
XVII,1637,NEGRA,F,2
XVII,1637,NEGRA,M,0
XVII,1637,SIN_CATEGORÍA,F,0
XVII,1637,SIN_CATEGORÍA,M,0
XVII,1638,CASTIZA,F,0
XVII,1638,CASTIZA,M,0
XVII,1638,ESPAÑOLA,F,1
XVII,1638,ESPAÑOLA,M,3
XVII,1638,INDIA,F,3
XVII,1638,INDIA,M,6
XVII,1638,MESTIZA,F,0
XVII,1638,MESTIZA,M,1
XVII,1638,MORISCA,F,0
XVII,1638,MORISCA,M,0
XVII,1638,MULATA,F,1
XVII,1638,MULATA,M,1
XVII,1638,NEGRA,F,0
XVII,1638,NEGRA,M,0
XVII,1638,SIN_CATEGORÍA,F,0
XVII,1638,SIN_CATEGORÍA,M,1
XVII,1639,CASTIZA,F,0
XVII,1639,CASTIZA,M,0
XVII,1639,ESPAÑOLA,F,0
XVII,1639,ESPAÑOLA,M,0
XVII,1639,INDIA,F,6
XVII,1639,INDIA,M,5
XVII,1639,MESTIZA,F,0
XVII,1639,MESTIZA,M,2
XVII,1639,MORISCA,F,0
XVII,1639,MORISCA,M,0
XVII,1639,MULATA,F,1
XVII,1639,MULATA,M,0
XVII,1639,NEGRA,F,0
XVII,1639,NEGRA,M,2
XVII,1639,SIN_CATEGORÍA,F,0
XVII,1639,SIN_CATEGORÍA,M,0
XVII,1640,CASTIZA,F,0
XVII,1640,CASTIZA,M,0
XVII,1640,ESPAÑOLA,F,0
XVII,1640,ESPAÑOLA,M,2
XVII,1640,INDIA,F,0
XVII,1640,INDIA,M,0
XVII,1640,MESTIZA,F,1
XVII,1640,MESTIZA,M,0
XVII,1640,MORISCA,F,0
XVII,1640,MORISCA,M,0
XVII,1640,MULATA,F,0
XVII,1640,MULATA,M,2
XVII,1640,NEGRA,F,0
XVII,1640,NEGRA,M,1
XVII,1640,SIN_CATEGORÍA,F,0
XVII,1640,SIN_CATEGORÍA,M,0
XVII,1641,CASTIZA,F,0
XVII,1641,CASTIZA,M,0
XVII,1641,ESPAÑOLA,F,0
XVII,1641,ESPAÑOLA,M,2
XVII,1641,INDIA,F,0
XVII,1641,INDIA,M,0
XVII,1641,MESTIZA,F,1
XVII,1641,MESTIZA,M,0
XVII,1641,MORISCA,F,0
XVII,1641,MORISCA,M,0
XVII,1641,MULATA,F,0
XVII,1641,MULATA,M,2
XVII,1641,NEGRA,F,0
XVII,1641,NEGRA,M,1
XVII,1641,SIN_CATEGORÍA,F,0
