SIGLO,AÑO,CALIDADES,GENERO,LEGITIMO,ILEGITIMO,TOTAL
XVII,1619,CASTIZA,M,,,0
XVII,1619,MORISCA,F,0,0,0
XVII,1619,MORISCA,F,,,0
XVII,1619,MORISCA,M,0,0,0
XVII,1619,MORISCA,M,,,0
XVII,1619,MULATA,F,0,0,0
XVII,1619,MULATA,F,,,0
XVII,1619,MULATA,M,0,0,0
XVII,1619,MULATA,M,,,0
XVII,1619,NEGRA,F,0,0,0
XVII,1619,NEGRA,F,,,0
XVII,1619,NEGRA,M,0,0,0
XVII,1619,NEGRA,M,,,0
XVII,1619,SIN_CATEGORÍA,F,9,2,11
XVII,1619,SIN_CATEGORÍA,F,,,0
XVII,1619,SIN_CATEGORÍA,M,6,0,6
XVII,1619,SIN_CATEGORÍA,M,,,0
XVII,1620,INDIA,F,1,0,1
XVII,1620,INDIA,F,,,2
XVII,1620,INDIA,M,2,0,2
XVII,1620,INDIA,M,,,5
XVII,1620,ESPAÑOLA,F,10,0,10
XVII,1620,ESPAÑOLA,F,,,2
XVII,1620,ESPAÑOLA,M,6,0,6
XVII,1620,ESPAÑOLA,M,,,1
XVII,1620,MESTIZA,F,0,0,0
XVII,1620,MESTIZA,F,,,0
XVII,1620,MESTIZA,M,0,0,0
XVII,1620,MESTIZA,M,,,0
XVII,1620,CASTIZA,F,0,0,0
XVII,1620,CASTIZA,F,,,0
XVII,1620,CASTIZA,M,0,0,0
XVII,1620,CASTIZA,M,,,0
XVII,1620,MORISCA,F,0,0,0
XVII,1620,MORISCA,F,,,0
XVII,1620,MORISCA,M,0,0,0
XVII,1620,MORISCA,M,,,0
XVII,1620,MULATA,F,0,0,0
XVII,1620,MULATA,F,,,1
XVII,1620,MULATA,M,0,0,0
XVII,1620,MULATA,M,,,0
XVII,1620,NEGRA,F,0,0,0
XVII,1620,NEGRA,F,,,0
XVII,1620,NEGRA,M,0,0,0
XVII,1620,NEGRA,M,,,3
XVII,1620,SIN_CATEGORÍA,F,9,4,13
XVII,1620,SIN_CATEGORÍA,F,,,0
XVII,1620,SIN_CATEGORÍA,M,6,3,9
XVII,1620,SIN_CATEGORÍA,M,,,0
XVII,1621,INDIA,F,2,0,2
XVII,1621,INDIA,F,,,0
XVII,1621,INDIA,M,2,0,2
XVII,1621,INDIA,M,,,5
