SIGLO,AÑO,ETNIA_M,ETNIA_F,MATRIMONIOS
XVII,1609,MASCULINO SIN CATEG.,INDIA,0
XVII,1609,MASCULINO SIN CATEG.,MESTIZA,0
XVII,1609,MASCULINO SIN CATEG.,MORISCA,0
XVII,1609,MASCULINO SIN CATEG.,MULATA,0
XVII,1609,MASCULINO SIN CATEG.,NEGRA,0
XVII,1609,MESTIZO,CASTIZA,0
XVII,1609,MESTIZO,ESPAÑOLA,0
XVII,1609,MESTIZO,FEMENINA SIN CATEG.,0
XVII,1609,MESTIZO,INDIA,0
XVII,1609,MESTIZO,MESTIZA,0
XVII,1609,MESTIZO,MORISCA,0
XVII,1609,MESTIZO,MULATA,0
XVII,1609,MESTIZO,NEGRA,0
XVII,1609,MORISCO,CASTIZA,0
XVII,1609,MORISCO,ESPAÑOLA,0
XVII,1609,MORISCO,FEMENINA SIN CATEG.,0
XVII,1609,MORISCO,INDIA,0
XVII,1609,MORISCO,MESTIZA,0
XVII,1609,MORISCO,MORISCA,0
XVII,1609,MORISCO,MULATA,0
XVII,1609,MORISCO,NEGRA,0
XVII,1609,MULATO,CASTIZA,0
XVII,1609,MULATO,ESPAÑOLA,0
XVII,1609,MULATO,FEMENINA SIN CATEG.,0
XVII,1609,MULATO,INDIA,0
XVII,1609,MULATO,MESTIZA,0
XVII,1609,MULATO,MORISCA,0
XVII,1609,MULATO,MULATA,1
XVII,1609,MULATO,NEGRA,0
XVII,1609,NEGRO,CASTIZA,0
XVII,1609,NEGRO,ESPAÑOLA,0
XVII,1609,NEGRO,FEMENINA SIN CATEG.,0
XVII,1609,NEGRO,INDIA,0
